formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H2ClO3	[M + Na]+	C3H2ClNaO3+	Fatty acids	0.588	Fatty Acids and Conjugates	0.491	Halogenated fatty acids	0.792	Organoheterocyclic compounds	0.609	Dihydrofurans	0.350	Furanones	0.469	Butenolides	0.508	Butenolides	0.508	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Butenolides; Vinyl chlorides; Vinyl halides; Vinylogous halides; Haloalkenes; Chloroalkenes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.959	29	0.482	845630588035993595	845630485204239586	845630485195850977	2	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	Fatty acids	0.181	Fatty acyls	0.257	Pyridine alkaloids	0.171	Organic nitrogen compounds	0.701	Organonitrogen compounds	0.655					Organonitrogen compounds	0.655	Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities	158.003	29	0.484	845630581119585707	845630484914832606	845630484893861085	1	
1	C2H7BrNO4S	[M + H]+	C2H8BrNO4S+	Fatty acids	0.228	Small peptides	0.272	Halogenated fatty acids	0.458	Organic acids and derivatives	0.998	Organic sulfonic acids and derivatives	0.872	Organosulfonic acids and derivatives	0.869			Organosulfonic acids and derivatives	0.869	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	220.935	32	0.525	845630580863733105	845630485321680102	845630485317485797	3	
1	C5H6Cl4FNO2	[M - H2O + H]+	C5H5Cl4FNO+	Amino acids and Peptides	0.234	Fatty Acids and Conjugates	0.232	Halogenated fatty acids	0.756	Organic acids and derivatives	0.803	Carboxylic acids and derivatives	0.667					Carboxylic acids and derivatives	0.667	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	253.910	32	0.525	845630581559987655	845630485430732010	845630485426537705	4	
1	C8H15NO4S	[M + H3N + H]+	C8H19N2O4S+	Alkaloids	0.113	Lysine alkaloids	0.012	Sphingoid bases	0.009	Organoheterocyclic compounds	0.945	Diazinanes	0.457	Piperazines	0.401	N-alkylpiperazines	0.567	N-alkylpiperazines	0.567	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	33	0.557	845630581065059724	845630485799830774	845630485736916213	7	
1	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	Amino acids and Peptides	0.843	Histidine alkaloids	0.802	Imidazole alkaloids	0.804	Organic acids and derivatives	0.762	Carboxylic acids and derivatives	0.679	Carboxylic acids	0.633			Carboxylic acids	0.633	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	34	0.559	845630585708154580	845630485875328250	845630485875328249	8	
1	C2H6Cl2O2Si	[M - H2O + H]+	C2H5Cl2OSi+	Fatty acids	0.971	Fatty acyls	0.742	Halogenated fatty acids	0.915	Organohalogen compounds	0.959	Halohydrins	0.549					Halohydrins	0.549	Organic compounds; Alcohols and polyols; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Halohydrins; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	142.948	36	0.608	845630584437280436	845630486072460550	845630486072460549	11	
1	C5H13F2N2OS	[M + Na]+	C5H13F2N2NaOS+	Alkaloids	0.381	Histidine alkaloids	0.377	Imidazole alkaloids	0.385	Organosulfur compounds	0.860	Sulfenyl compounds	0.650					Sulfenyl compounds	0.650	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	210.061	40	0.675	845630579987123409	845630486185706766	845630486185706765	13	
1	C5H9ClO3	[M + K]+	C5H9ClKO3+	Fatty acids	0.964	Fatty Acids and Conjugates	0.927	Halogenated fatty acids	0.972	Organic acids and derivatives	0.788	Carboxylic acids and derivatives	0.830	Monocarboxylic acids and derivatives	0.592			Monocarboxylic acids and derivatives	0.592	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Monocarboxylic acids and derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	190.988	41	0.681	845630579848711324	845630486131180810	845630486126986505	12	
1	C7H17F2N2OS	[M + Na]+	C7H17F2N2NaOS+	Alkaloids	0.369	Histidine alkaloids	0.136	Imidazole alkaloids	0.139	Organohalogen compounds	0.985	Alkyl halides	0.955	Alkyl fluorides	0.956			Alkyl fluorides	0.956	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	238.092	41	0.684	845630580368805165	845630486370256154	845630486366061849	16	
1	C4H7O3P	[M + K]+	C4H7KO3P+	Fatty acids	0.510	Fatty acyls	0.089	Oxygenated hydrocarbons	0.004	Organic acids and derivatives	0.727	Organic phosphonic acids and derivatives	0.676					Organic phosphonic acids and derivatives	0.676	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	172.977	41	0.685	845630598978933892	845630486252815634	845630486248621329	14	
1	C4H11F2N2OS	[M + Na]+	C4H11F2N2NaOS+	Alkaloids	0.550	Histidine alkaloids	0.058	Imidazole alkaloids	0.060	Organosulfur compounds	0.896	Sulfenyl compounds	0.707					Sulfenyl compounds	0.707	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Sulfenyl compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	196.045	41	0.686	845630578762386471	845630486424782110	845630486424782109	17	
1	C3H4ClO4	[M + Na]+	C3H4ClNaO4+	Fatty acids	0.990	Fatty Acids and Conjugates	0.991	Halogenated fatty acids	0.995	Lipids and lipid-like molecules	0.503	Fatty Acyls	0.630	Fatty acids and conjugates	0.688	Halogenated fatty acids	0.790	Halogenated fatty acids	0.790	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Halogenated fatty acids; Carboxylic acids; Organochlorides; Alpha-halocarboxylic acids and derivatives; Carbonyl compounds; Vinyl halides; Alpha-halocarboxylic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	161.970	53	0.885	845630583929769566	845630486483502370	845630486483502369	18	
1	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	Amino acids and Peptides	0.471	Small peptides	0.739	Aminoacids	0.525	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.570	Amino acids and derivatives	0.570	Amino acids and derivatives	0.570	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organofluorides; Carbonyl compounds; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	252.071	54	0.904	845630587377487764	845630486605137194	845630486600942889	20	
1	C3H2ClO3	[M + Na]+	C3H2ClNaO3+	Fatty acids	0.622	Fatty Acids and Conjugates	0.501	Halogenated fatty acids	0.796	Organoheterocyclic compounds	0.651	Dihydrofurans	0.390	Furanones	0.509	Butenolides	0.550	Butenolides	0.550	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Furanones; Butenolides; Vinyl chlorides; Vinyl halides; Vinylogous halides; Haloalkenes; Chloroalkenes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.959	56	0.933	845630605425579866	845630486546416934	845630486542222629	19	
1	C6H15F2N2OS	[M + Na]+	C6H15F2N2NaOS+	Alkaloids	0.406	Monoterpenoids	0.140	Imidazole alkaloids	0.115	Organosulfur compounds	0.889	Sulfenyl compounds	0.696					Sulfenyl compounds	0.696	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Sulfenyl compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	224.076	57	0.956	845630599226397841	845630486659663150	845630486659663149	21	
1	C8H21F2N2O2Si	[M + Na]+	C8H21F2N2NaO2Si+	Alkaloids	0.450	Small peptides	0.340	Halogenated fatty acids	0.350	Organohalogen compounds	0.704	Alkyl halides	0.644	Alkyl fluorides	0.668			Alkyl fluorides	0.668	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.123	59	0.989	845630596919530469	845630486718383410	845630486718383409	22	
1	C4H5Cl2	[M + Na]+	C4H5Cl2Na+	Fatty acids	0.926	Fatty acyls	0.813	Halogenated fatty acids	0.623	Organophosphorus compounds	0.107	Alkylhalophosphines	0.535					Alkylhalophosphines	0.535	Organic compounds; Organohalogen compounds; Hydrocarbon derivatives; Alkylhalophosphines; Chemical entities	145.966	61	1.012	845630580922453378	845630486772909366	845630486772909365	23	
1	C6H15F2N2OS	[M + Na]+	C6H15F2N2NaOS+	Alkaloids	0.397	Monoterpenoids	0.139	Imidazole alkaloids	0.117	Organosulfur compounds	0.885	Sulfenyl compounds	0.689					Sulfenyl compounds	0.689	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Sulfenyl compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	224.076	61	1.022	845630596479128445	845630486827435322	845630486823241017	24	
