formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C9H24N4O5S	[M - H2O + H]+	C9H23N4O4S+	0.294	0.252	21.608	21.608	0.000	5	0.740	0.130	1.121	-63609.375		283.143	29	0.489	860777924855588671	860777633825402644	860777633804431123	1	
1	C8H15NO4S	[M + H3N + H]+	C8H19N2O4S+	0.872	0.333	58.831	54.332	4.499	20	0.660	1.634	1.634	0.399		239.106	30	0.501	860777927145678969	860777634135781144	860777634127392535	2	
1	C8H20NO6P	[M + H]+	C8H21NO6P+	0.277	0.225	67.455	67.455	0.000	11	0.503	1.014	1.014	0.463		258.110	30	0.502	860777927086958677	860777634257415964	860777634253221659	3	
1	C13H12N2O4	[M + H]+	C13H13N2O4+	0.209	0.195	5.306	5.306	0.000	2	0.091	1.610	1.610	4.258		261.088	30	0.504	860777925992245204	860777634433576740	860777634429382435	5	
1	C8H13NO2	[M + H3N + H]+	C8H17N2O2+	1.000	0.333	149.546	149.546	0.000	34	0.681	5.029	5.029	0.265		173.129	30	0.508	860777923261753034	860777634362273568	860777634358079263	4	
1	C7H4O2	[M + H3N + H]+	C7H8NO2+	0.983	0.333	53.939	53.939	0.000	8	0.067	5.765	5.765	0.616		138.055	31	0.513	860777922628413082	860777634500685608	860777634496491303	6	
1	C7H17NO4	[M - H2O + H]+	C7H16NO3+	0.559	0.333	42.280	42.280	0.000	6	0.448	4.391	4.391	-111098.575		162.113	31	0.513	860777930928941789	860777634563600172	860777634563600171	7	
1	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	1.000	0.333	156.795	153.630	3.165	38	0.584	4.286	4.286	0.565		187.144	31	0.522	860777923119146690	860777634727178036	860777634722983731	9	
1	C10H17NO4	[M + Na]+	C10H17NNaO4+	1.000	1.000	136.093	136.093	0.000	31	0.707	0.863	0.883	0.341		238.105	31	0.523	860777930173967010	860777634857201468	860777634853007163	11	
1	C9H14O4	[M + H3N + H]+	C9H18NO4+	1.000	0.333	210.050	210.050	0.000	43	0.965	3.369	3.369	0.860		204.123	31	0.523	860777925778335659	860777634634903344	860777634630709039	8	
1	C10H17NO4	[M + H]+	C10H18NO4+	0.994	0.333	271.104	271.104	0.000	52	0.983	1.856	1.856	0.997		216.123	31	0.524	860777931646167857	860777634794286904	860777634794286903	10	
1	C3H7FN2O3	[M - H2O + H]+	C3H6FN2O2+	0.279	0.233	24.699	24.699	0.000	5	0.847	-5.873	6.245	-148806.242		121.040	32	0.527	860777922225759867	860777634911727424	860777634911727423	12	
1	C6H3NO2	[M + H3N + H]+	C6H7N2O2+	0.986	0.333	67.348	67.348	0.000	6	0.209	5.863	5.863	0.475		139.050	32	0.527	860777931604224805	860777634970447684	860777634966253379	13	
1	C14H25NO4	[M + H3N + H]+	C14H29N2O4+	0.973	0.333	141.772	141.772	0.000	38	0.664	2.135	2.474	-0.048		289.212	32	0.530	860777931902020429	860777635196940116	860777635192745811	17	
1	C11H21NO3	[M + H3N + H]+	C11H25N2O3+	1.000	0.333	242.324	242.324	0.000	35	0.588	0.849	0.849	-0.210		233.186	32	0.530	860777922179622516	860777635083693900	860777635079499595	15	
1	C10H22O5	[M + H3N + H]+	C10H26NO5+	1.000	1.000	65.339	65.339	0.000	12	0.530	0.682	0.682	-0.226		240.180	32	0.531	860777923513411286	860777635138219856	860777635138219855	16	
1	C11H19NO4	[M + Na]+	C11H19NNaO4+	1.000	1.000	143.427	143.427	0.000	36	0.743	0.736	0.765	0.322		252.121	32	0.532	860777927904848181	860777635557650284	860777635557650283	23	
