formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
5	C17H18N2O2	[M + H]+	C17H19N2O2+	Alkaloids	0.769	Tryptophan alkaloids	0.189	Pyridine alkaloids	0.157	Benzenoids	0.979	Phenol ethers	0.624					Phenol ethers	0.624	Organic compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	283.143	29	0.489	860777924855588672	860777633825402644	860777633804431123	1	
3	C8H18N2O4S	[M + H]+	C8H19N2O4S+	Alkaloids	0.109	Diterpenoids	0.002	Sphingoid bases	0.036	Organoheterocyclic compounds	0.981	Diazinanes	0.996	Piperazines	0.997	N-alkylpiperazines	0.996	N-alkylpiperazines	0.996	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	30	0.501	860777927145678968	860777634135781144	860777634127392535	2	
1	C8H20NO6P	[M + H]+	C8H21NO6P+	Fatty acids	0.932	Glycerophospholipids	0.527	Glycerophosphocholines	0.549	Organic nitrogen compounds	0.996	Organonitrogen compounds	0.994	Quaternary ammonium salts	0.946	Cholines	0.739	Phosphocholines	0.636	Organic compounds; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.110	30	0.502	860777927086958677	860777634257415964	860777634253221659	3	
3	C13H9NO4	[M + H3N + H]+	C13H13N2O4+	Alkaloids	0.894	Anthranilic acid alkaloids	0.334	Simple coumarins	0.296	Organoheterocyclic compounds	0.990	Benzodioxoles	0.977					Benzodioxoles	0.977	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzodioxoles; Organooxygen compounds; Acetals; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	30	0.504	860777925992245205	860777634433576740	860777634429382435	5	
1	C8H13NO2	[M + H3N + H]+	C8H17N2O2+	Amino acids and Peptides	0.556	Lysine alkaloids	0.331	Primary amides	0.466	Organoheterocyclic compounds	0.529	Lactams	0.587					Lactams	0.587	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	173.129	30	0.508	860777923261753034	860777634362273568	860777634358079263	4	
1	C7H4O2	[M + H3N + H]+	C7H8NO2+	Shikimates and Phenylpropanoids	0.622	Phenolic acids (C6-C1)	0.644	Simple phenolic acids	0.717	Benzenoids	0.616							Benzenoids	0.616	Organic compounds; Organooxygen compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	138.055	31	0.513	860777922628413082	860777634500685608	860777634496491303	6	
2	C7H12O3	[M + H3N + H]+	C7H16NO3+	Fatty acids	0.982	Fatty esters	0.609	Fatty alcohols	0.371	Lipids and lipid-like molecules	0.546							Lipids and lipid-like molecules	0.546	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	162.113	31	0.513	860777930928941788	860777634563600172	860777634563600171	7	
1	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	Fatty acids	0.473	Fatty amides	0.525	Primary amides	0.902	Lipids and lipid-like molecules	0.711	Fatty Acyls	0.659					Fatty Acyls	0.659	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187.144	31	0.522	860777923119146690	860777634727178036	860777634722983731	9	
1	C10H17NO4	[M + Na]+	C10H17NNaO4+	Alkaloids	0.467	Ornithine alkaloids	0.402	Pyrrolidine alkaloids	0.267	Organoheterocyclic compounds	0.853	Lactams	0.567					Lactams	0.567	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	238.105	31	0.523	860777930173967010	860777634857201468	860777634853007163	11	
1	C9H14O4	[M + H3N + H]+	C9H18NO4+	Fatty acids	0.976	Fatty Acids and Conjugates	0.840	Dicarboxylic acids	0.856	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.988	Dicarboxylic acids and derivatives	0.626			Dicarboxylic acids and derivatives	0.626	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	204.123	31	0.523	860777925778335659	860777634634903344	860777634630709039	8	
