structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	5	0.023	0.023	-108.601	0.068	0.081	20.474	C17H18N2O2	[M + H]+	C17H19N2O2+	OEXMNSOPAKOPEF	InChI=1S/C17H18N2O2/c1-12(20)18-16-7-3-14(4-8-16)11-15-5-9-17(10-6-15)19-13(2)21/h3-10H,11H2,1-2H3,(H,18,20)(H,19,21)	4,4'-Diacetamidodiphenylmethane	CC(=O)NC1=CC=C(C=C1)CC2=CC=C(C=C2)NC(=O)C	2.893	94990	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(94990);DSSTox:(DTXSID40872849);PUBMED:(null)	137506062402	283.143	29	0.489	860777924855588672	860777633825402644	860777633804431123	1	
1	3	0.902	0.924	-7.998	0.062	0.333	58.831	C8H18N2O4S	[M + H]+	C8H19N2O4S+	JKMHFZQWWAIEOD	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.000	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318	239.106	30	0.501	860777927145678968	860777634135781144	860777634127392535	2	
1	1	0.149	0.287	-97.934	0.277	0.225	67.455	C8H20NO6P	[M + H]+	C8H21NO6P+	SUHOQUVVVLNYQR	InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/p+1	2-[2,3-bis(16O)(oxidanyl)propoxy-(16O)oxidanyl(31P)(31P)(16O)(31P)(16O)(16O)(31P)(16O)(16O)(16O)phosphoryl]oxyethyl-tri((112C)methyl)(14N)azanium	C[N+](C)(C)CCOP(=O)(O)OCC(CO)O	-2.300	145051662;58381695;136212910;136212911;126551289;140771663;657272;123809630;11184607;11184608;59514924;823;11234;71920;71921;439285	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000086 HMDB0252858);MiMeDB:(MMDBc0000494 MMDBc0032168);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(71921 657272 71920 11234 823 439285);SUPERNATURAL:(SN0355528);MESH:(11234 657272);FooDB:(FDB021802 FDB030952);PUBCHEM:(145051662 58381695 136212910 136212911 126551289 140771663 657272 123809630 11184607 11184608 59514924 823 11234 71920 71921 439285);NORMAN:(NS00068578);METACYC:(L-1-GLYCERO-PHOSPHORYLCHOLINE);PLANTCYC:(L-1-GLYCERO-PHOSPHORYLCHOLINE);CHEBI:(135063 55397 16870);KEGG:(C00670);DSSTox:(DTXSID40862200 DTXSID70951010);LOTUS:(Q27458810 Q60476027 Q28529699);YMDB:(YMDB00309 YMDB00694);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null)	139575363950	258.110	30	0.502	860777927086958677	860777634257415964	860777634253221659	3	
1	3	0.035	0.050	-129.607	0.191	0.195	5.306	C13H9NO4	[M + H3N + H]+	C13H13N2O4+	ZWQRSJSVYWEXHN	InChI=1S/C13H9NO4/c15-13(16)11-3-1-2-10(8-11)9-4-6-12(7-5-9)14(17)18/h1-8H,(H,15,16)	3-(4-Nitrophenyl)benzoate	C1=CC(=CC(=C1)C(=O)O)C2=CC=C(C=C2)[N+](=O)[O-]	2.908	21458919;3013938	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(21458919 3013938);DSSTox:(DTXSID60223197);PUBMED	137506062402	261.088	30	0.504	860777925992245205	860777634433576740	860777634429382435	5	
1	1	0.180	0.180	-88.058	1.000	0.333	149.546	C8H13NO2	[M + H3N + H]+	C8H17N2O2+	PRYGUMLJTFFJTD	InChI=1S/C8H13NO2/c1-2-3-4-8(5-6-8)7(10)9-11/h2,11H,1,3-6H2,(H,9,10)	1-but-3-enyl-N-hydroxycyclopropane-1-carboxamide	C=CCCC1(CC1)C(=O)NO	0.800	131222740	PUBCHEM:(131222740)	2	173.129	30	0.508	860777923261753034	860777634362273568	860777634358079263	4	
1	1	0.139	0.139	-65.871	0.983	0.333	53.939	C7H4O2	[M + H3N + H]+	C7H8NO2+	FATZEVRESLWFAV	InChI=1S/C7H4O2/c8-7(9)6-2-4-1-5(4)3-6/h1-3H,(H,8,9)	Bicyclo[3.1.0]hexane-1,3,5-triene-3-carboxylic acid	C1=C2C1=CC(=C2)C(=O)O	0.400	20334540	BloodExposome:(20334540);PUBCHEM:(20334540);PUBMED:(null)	4194370	138.055	31	0.513	860777922628413082	860777634500685608	860777634496491303	6	
1	2	0.050	0.050	-53.046	0.260	0.333	42.280	C7H12O3	[M + H3N + H]+	C7H16NO3+	GFDLMAQAFYECMB	InChI=1S/C7H12O3/c1-7(9)6-10-5-3-2-4-8/h7-9H,4-6H2,1H3	4-(2-Hydroxypropoxy)but-2-yn-1-ol	CC(COCC#CCO)O	-0.800	51418891;51418997;102654	NORMAN:(NS00045843);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(51418891 51418997 102654);DSSTox:(DTXSID90862710)	137506324482	162.113	31	0.513	860777930928941788	860777634563600172	860777634563600171	7	
1	1	0.146	0.148	-111.019	1.000	0.333	156.795	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	JQKCBJHFSRLOEO	InChI=1S/C9H15NO2/c10-9(12)5-8(6-11)4-7-2-1-3-7/h6-8H,1-5H2,(H2,10,12)	(3R)-3-(cyclobutylmethyl)-4-oxobutanamide	C1CC(C1)CC(CC(=O)N)C=O	0.600	142089514;142089539	PUBCHEM:(142089514 142089539)	2	187.144	31	0.522	860777923119146690	860777634727178036	860777634722983731	9	
1	1	0.038	0.038	-181.294	1.000	1.000	136.093	C10H17NO4	[M + Na]+	C10H17NNaO4+	HFEGSFBKYUXELG	InChI=1S/C10H17NO4/c1-9(2,3)15-8(14)11-6-5-10(11,4)7(12)13/h5-6H2,1-4H3,(H,12,13)	(2S)-1-[(tert-Butoxy)carbonyl]-2-methylazetidine-2-carboxylic acid	CC1(CCN1C(=O)OC(C)(C)C)C(=O)O	1.100	21866332;20599252;70026686;71302102	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(21866332 20599252 70026686 71302102);DSSTox:(DTXSID30619083)	137506062338	238.105	31	0.523	860777930173967010	860777634857201468	860777634853007163	11	
1	1	0.257	0.257	-82.473	1.000	0.333	210.050	C9H14O4	[M + H3N + H]+	C9H18NO4+	BFJJDNGTCYTNRA	InChI=1S/C9H14O4/c1-2-4-7(9(12)13)5-3-6-8(10)11/h5H,2-4,6H2,1H3,(H,10,11)(H,12,13)		CCCC(=CCCC(=O)O)C(=O)O	1.400	163107431	COCONUT:(CNP0427427);SUPERNATURAL:(SN0024002);PUBCHEM:(163107431)	3145730	204.123	31	0.523	860777925778335659	860777634634903344	860777634630709039	8	
1	1	0.335	0.335	-156.040	0.994	0.333	271.104	C10H17NO4	[M + H]+	C10H18NO4+	CJQORTJFEFUXDX	InChI=1S/C10H17NO4/c1-2-3-4-10(9(14)15)5-6(10)7(11)8(12)13/h6-7H,2-5,11H2,1H3,(H,12,13)(H,14,15)	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	CCCCC1(CC1C(C(=O)O)N)C(=O)O	-1.600	71662088	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(71662088);PUBMED:(null)	16777282	216.123	31	0.524	860777931646167857	860777634794286904	860777634794286903	10	
1	4	0.383	0.383	-42.299	0.125	0.101	23.861	C6H6N2O2	[M - H2O + H]+	C6H5N2O+	LOIYMIARKYCTBW	InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)	Urocanic Acid	C1=C(NC=N1)C=CC(=O)O	0.000	5460052;5460648;5461073;736715;1549103;1178;133698976;71310808	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	139443046766	121.040	32	0.527	860777922225759870	860777634911727424	860777634911727423	12	
1	1	0.181	0.181	-44.678	0.986	0.333	67.348	C6H3NO2	[M + H3N + H]+	C6H7N2O2+	GUUQLYBVTBILKO	InChI=1S/C6H3NO2/c8-6(9)5-3-1-2-4-7-5/h1-3H/p+1	2H-pyridin-2-ylium-6-carboxylic acid	C1=C[C+]=NC(=C1)C(=O)O	0.000	54703719	PUBCHEM:(54703719)	2	139.050	32	0.527	860777931604224805	860777634970447684	860777634966253379	13	
1	2	0.031	0.031	-185.976	0.017	0.333	141.772	C14H28N2O4	[M + H]+	C14H29N2O4+	FCHCCQQVUZBSIR	InChI=1S/C14H28N2O4/c17-11-5-7-13(19)15-9-3-1-2-4-10-16-14(20)8-6-12-18/h17-18H,1-12H2,(H,15,19)(H,16,20)	N,N'-Hexane-1,6-diylbis(4-hydroxybutyramide)	C(CCCNC(=O)CCCO)CCNC(=O)CCCO	-0.500	14548420	NORMAN:(NS00066626);PUBCHEM:(14548420);DSSTox:(DTXSID00915504)	137439215618	289.212	32	0.530	860777931902020428	860777635196940116	860777635192745811	17	
1	1	0.083	0.083	-188.504	1.000	0.333	242.324	C11H21NO3	[M + H3N + H]+	C11H25N2O3+	PQHKGZQMAHHJTD	InChI=1S/C11H21NO3/c1-4-14-11(13)5-6-12-7-9(2)15-10(3)8-12/h9-10H,4-8H2,1-3H3	Ethyl 3-(2,6-dimethylmorpholin-4-yl)propanoate	CCOC(=O)CCN1CC(OC(C1)C)C	0.900	28435315;28435316;25113400;98759	NORMAN:(NS00060484);PUBCHEM:(28435315 28435316 25113400 98759);DSSTox:(DTXSID00991489)	137439215618	233.186	32	0.530	860777922179622516	860777635083693900	860777635079499595	15	
1	1	0.016	0.030	-74.856	1.000	1.000	65.339	C10H22O5	[M + H3N + H]+	C10H26NO5+	ZUHZGEOKBKGPSW	InChI=1S/C10H22O5/c1-11-3-5-13-7-9-15-10-8-14-6-4-12-2/h3-10H2,1-2H3	2,5,8,11,14-pentaoxapentadecane	COCCOCCOCCOCCOC	-0.202	88448760;8925;46783037;132915692;132915693	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0284374);NORMAN:(NS00010103);HMDB:(HMDB0258894);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(8925);CHEBI:(46785);SUPERNATURAL:(SN0480463);MESH:(8925);PUBCHEM:(88448760 8925 46783037 132915692 132915693);DSSTox:(DTXSID7044396);PUBMED:(null)	137530441838	240.180	32	0.531	860777923513411286	860777635138219856	860777635138219855	16	
1	1	0.110	0.143	-157.432	1.000	1.000	143.427	C11H19NO4	[M + Na]+	C11H19NNaO4+	SKEXQIJIXQSFRX	InChI=1S/C11H19NO4/c1-11(2,3)16-10(15)12-5-4-8(7-12)6-9(13)14/h8H,4-7H2,1-3H3,(H,13,14)	(s)-2-(1-(Tert-butoxycarbonyl)pyrrolidin-3-yl)acetic acid	CC(C)(C)OC(=O)N1CCC(C1)CC(=O)O	1.000	4343771;35549272;35549273;1502098;1502099	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(4343771 35549272 35549273 1502098 1502099);DSSTox:(DTXSID30363615 DTXSID50402156 DTXSID90363616)	137506062338	252.121	32	0.532	860777927904848181	860777635557650284	860777635557650283	23	
1	1	0.103	0.103	-64.605	1.000	1.000	84.288	C10H22O6	[M + H3N + H]+	C10H26NO6+	JLFNLZLINWHATN	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2		C(COCCOCCOCCOCCO)O	-1.700	58325915;62551	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0256256);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(62551);SUPERNATURAL:(SN0168435);MESH:(62551);PUBCHEM:(58325915 62551);MACONDA:(CON00072);COCONUT:(CNP0451597);NORMAN:(NS00001002);METACYC:(CPD-20410);CHEBI:(39631);DSSTox:(DTXSID4027579);PUBMED:(null)	137530444910	256.175	32	0.532	860777924712982316	860777635024973640	860777635024973639	14	
1	1	0.071	0.071	-89.188	1.000	0.333	178.339	C10H16O4	[M + H3N + H]+	C10H20NO4+	YWONUDUUMCJFPN	InChI=1S/C10H16O4/c1-3-13-9(11)8(7-5-6-7)10(12)14-4-2/h7-8H,3-6H2,1-2H3	Diethyl cyclopropylmalonate	CCOC(=O)C(C1CC1)C(=O)OCC	2.000	12704408	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(12704408);DSSTox:(DTXSID901284414)	137506062338	218.139	32	0.534	860777925350516618	860777635314380636	860777635310186331	19	
1	1	0.407	0.407	-48.566	1.000	0.333	295.772	C11H16O4	[M + H3N + H]+	C11H20NO4+	FVYSCZXKSRUGHY	InChI=1S/C11H16O4/c1-8(10(12)13)6-4-3-5-7-9(2)11(14)15/h1-7H2,(H,12,13)(H,14,15)	2,8-Dimethylidenenonanedioic acid	C=C(CCCCCC(=C)C(=O)O)C(=O)O	2.700	20542367	PUBCHEM:(20542367)	2	230.139	32	0.534	860777929687427641	860777635251466072	860777635251466071	18	
1	1	0.088	0.088	-133.362	1.000	1.000	222.660	C8H15NO3	[M + Na]+	C8H15NNaO3+	VYKCAQOQHJGKQP	InChI=1S/C8H15NO3/c9-6-8(7-12,3-5-11)2-1-4-10/h10-12H,1-5,7H2	5-Hydroxy-2-(2-hydroxyethyl)-2-(hydroxymethyl)pentanenitrile	C(CC(CCO)(CO)C#N)CO	-1.200	91001964	BloodExposome:(91001964);PUBCHEM:(91001964);PUBMED:(null)	4194370	196.095	32	0.535	860777927384754404	860777635503124328	860777635498930023	22	
1	1	0.012	0.012	-100.106	1.000	0.333	218.092	C8H12O3	[M + H3N + H]+	C8H16NO3+	LDFBJPNPWVPKAQ	InChI=1S/C8H12O3/c1-6(5-9)3-4-8(11)7(2)10/h3,5,8,11H,4H2,1-2H3	5-hydroxy-2-methyl-6-oxohept-2-enal	CC(=CCC(C(=O)C)O)C=O	-0.100	102584112;130143872;131230525;73775425	COCONUT:(CNP0293417);SUPERNATURAL:(SN0202335);PUBCHEM:(102584112 130143872 131230525 73775425)	3145730	174.113	32	0.535	860777929083447763	860777635385683808	860777635381489503	20	
1	1	0.018	0.018	-155.267	1.000	0.333	137.957	C13H25NO4	[M + H3N + H]+	C13H29N2O4+	XMCQPOAMUXJYBD	InChI=1S/C13H25NO4/c1-12(2,3)18-11(16)4-7-14-13(10-15)5-8-17-9-6-13/h14-15H,4-10H2,1-3H3	Tert-butyl 3-[[4-(hydroxymethyl)oxan-4-yl]amino]propanoate	CC(C)(C)OC(=O)CCNC1(CCOCC1)CO	0.700	113233845	PUBCHEM:(113233845)	2	277.212	32	0.536	860777933357444118	860777635616370544	860777635616370543	24	
1	1	0.288	0.288	-106.434	1.000	0.333	306.640	C12H16O4	[M + H3N + H]+	C12H20NO4+	DQNGMIQSXNGHOA	InChI=1S/C12H16O4/c1-2-3-4-9-7-5-6-8(13)11(14)10(7)12(15)16-9/h4,8,11,13-14H,2-3,5-6H2,1H3	Senkyunolide I	CCCC=C1C2=C(C(C(CC2)O)O)C(=O)O1	0.500	162476553;5316704;5321251;6433088;92448113;92448114;3025856;10036566;10036567;90840207;131874235;131954670;13965087;13965088;91232697;11521428	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0136413);NORMAN:(NS00097249);HMDB:(HMDB0258236);BloodExposome:(13965087 6433088 11521428 13965088 5316704 92448114 3025856 10036566 5321251 131874235 10036567 131954670);CHEBI:(167850);SUPERNATURAL:(SN0072737);MESH:(3025856 5316704 5321251 6433088 10036566 11521428 13965087 13965088 90840207 91232697 131874235 131954670);PUBCHEM:(162476553 5316704 5321251 6433088 92448113 92448114 3025856 10036566 10036567 90840207 131874235 131954670 13965087 13965088 91232697 11521428);DSSTox:(DTXSID001317406);LOTUS:(Q27251426 Q110185039 Q105104269 Q104389163 Q104987043 Q104987041 Q104389162);PUBMED:(null);KNAPSACK:(DQNGMIQSXNGHOA-UHFFFAOYSA-N)	137731768446	242.139	32	0.537	860777940080914506	860777635444404068	860777635440209763	21	
1	1	0.054	0.054	-277.250	1.000	0.333	104.409	C23H42N4O8	[M + H3N + H]+	C23H46N5O8+	JNJGHWCLIHDZDM	InChI=1S/C23H42N4O8/c1-18(2)17-22(31)27(35)16-8-4-6-13-24-19(28)9-11-21(30)26(34)15-7-3-5-14-25-20(29)10-12-23(32)33/h18,34-35H,3-17H2,1-2H3,(H,24,28)(H,25,29)(H,32,33)	Tenacibactin C	CC(C)CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)O)O)O	-0.400	16216279	COCONUT:(CNP0375311);SUPERNATURAL:(SN0170089);PUBCHEM:(16216279);LOTUS:(Q75058459);PUBMED:(null);KNAPSACK:(JNJGHWCLIHDZDM-UHFFFAOYSA-N)	271581266	520.333	32	0.538	860777979423490087	860777636295847840	860777636295847839	36	
1	1	0.022	0.022	-236.316	1.000	0.333	102.496	C16H26O5	[M + H3N + H]+	C16H30NO5+	JFMRAARESGPLQF	InChI=1S/C16H26O5/c1-11(17)5-3-2-4-6-12-9-13(18)10-14(12)15(19)7-8-16(20)21/h4,6-8,11-15,17-19H,2-3,5,9-10H2,1H3,(H,20,21)	4-hydroxy-4-[4-hydroxy-2-(6-hydroxyhept-1-en-1-yl)cyclopentyl]but-2-enoic acid	CC(CCCC=CC1CC(CC1C(C=CC(=O)O)O)O)O	1.000	124866786;124866787;52316126;51136282;124079406;74968439;162831768;44281471	COCONUT:(CNP0094113);NORMAN:(NS00097070);CHEBI:(167812 134260);SUPERNATURAL:(SN0164064);LotusExpanded;PUBCHEM:(124866786 124866787 52316126 51136282 124079406 74968439 162831768 44281471)	8593342498	316.212	32	0.539	860777932485028765	860777635733811064	860777635733811063	26	
1	1	0.074	0.074	-125.641	1.000	1.000	179.760	C9H18N2O2	[M + Na]+	C9H18N2NaO2+	LRPQMNYCTSPGCX	InChI=1S/C9H18N2O2/c1-12-8(10)6-4-3-5-7-9(11)13-2/h10-11H,3-7H2,1-2H3	Dimethyl pimelimidate	COC(=N)CCCCCC(=N)OC	1.300	23547135;65403	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00053301);HMDB:(HMDB0251389);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(65403);MESH:(65403);PUBCHEM:(23547135 65403);DSSTox:(DTXSID80905140);PUBMED:(null)	137527296078	209.126	32	0.540	860777927728687388	860777635842862976	860777635838668671	28	
1	1	0.026	0.026	-96.457	1.000	0.333	130.383	C14H22O4	[M + H3N + H]+	C14H26NO4+	BXAAQNFGSQKPDZ	InChI=1S/C14H22O4/c1-5-9-15-13(16-10-6-2)14(17-11-7-3)18-12-8-4/h5-8,13-14H,1-4,9-12H2	1,1,2,2-Tetrakis(allyloxy)ethane	C=CCOC(C(OCC=C)OCC=C)OCC=C	2.500	85528	NORMAN:(NS00028799);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(85528);DSSTox:(DTXSID3067526)	137506324482	272.186	32	0.540	860777933474884651	860777635968692104	860777635964497799	30	
