"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C22H42O3"	"[M + H3N + H]+"	"C22H46NO3+"	"Fatty acids"	0.999	"Fatty Acids and Conjugates"	0.711	"Unsaturated fatty acids"	0.776	"Lipids and lipid-like molecules"	0.984	"Fatty Acyls"	0.969	"Lineolic acids and derivatives"	0.537	NA	NA	"Lineolic acids and derivatives"	0.537	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	372.347	132	2.208	860777988256695680	860777657766492160	860777657766492160	565	NA	565
1	"C36H71O8P"	"[M + H]+"	"C36H72O8P+"	"Terpenoids"	0.443	"Fatty esters"	0.406	"Wax monoesters"	0.08	"Lipids and lipid-like molecules"	0.679	"Fatty Acyls"	0.626	"Fatty acid esters"	0.736	NA	NA	"Fatty acid esters"	0.736	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	663.493	133	2.22	860778014093612160	860777657946847232	860777657946847232	569	NA	569
1	"C36H65NO7"	"[M + H3N + H]+"	"C36H69N2O7+"	"Fatty acids"	0.977	"Linear polyketides"	0.291	"Open-chain polyketides"	0.089	"Lipids and lipid-like molecules"	0.894	"Fatty Acyls"	0.843	NA	NA	NA	NA	"Fatty Acyls"	0.843	"Organic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	641.51	135	2.255	860777994690758912	860777657984595968	860777657984595968	570	NA	570
1	"C30H62O10"	"[M + H3N + H]+"	"C30H66NO10+"	"Fatty acids"	0.912	"Fatty acyls"	0.571	"Fatty alcohols"	0.386	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.995	"Dialkyl ethers"	0.996	"Polyethylene glycols"	0.996	"Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	600.469	135	2.256	860777996121016832	860777658055899136	860777658055899136	572	NA	572
1	"C20H39NO4"	"[M + H3N + H]+"	"C20H43N2O4+"	"Fatty acids"	0.998	"Fatty Acids and Conjugates"	0.756	"Nitro fatty acids"	0.95	"Lipids and lipid-like molecules"	0.943	"Fatty Acyls"	0.95	"Fatty acids and conjugates"	0.875	"Long-chain fatty acids"	0.759	"Long-chain fatty acids"	0.759	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	375.322	136	2.272	860777990735529728	860777658198505472	860777658198505472	576	NA	576
1	"C20H39NO3"	"[M + H3N + H]+"	"C20H43N2O3+"	"Fatty acids"	1	"Fatty amides"	0.837	"Nitro fatty acids"	0.738	"Lipids and lipid-like molecules"	0.952	"Fatty Acyls"	0.953	"Fatty acids and conjugates"	0.74	"Long-chain fatty acids"	0.687	"Long-chain fatty acids"	0.687	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Straight chain fatty acids; Unsaturated fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	359.327	136	2.275	860777990139938432	860777658160756736	860777658160756736	575	NA	575
2	"C25H35NO2SSi"	"[M + H3N + H]+"	"C25H39N2O2SSi+"	"Fatty acids"	0.927	"Fatty Acids and Conjugates"	0.267	"Unsaturated fatty acids"	0.06	"Lipids and lipid-like molecules"	0.736	"Fatty Acyls"	0.608	NA	NA	NA	NA	"Fatty Acyls"	0.608	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	459.249	136	2.275	860778038290552960	860777658232059904	860777658232059904	577	NA	577
1	"C20H37NO2"	"[M + H3N + H]+"	"C20H41N2O2+"	"Fatty acids"	1	"Fatty amides"	0.997	"N-acyl ethanolamines (endocannabinoids)"	0.869	"Lipids and lipid-like molecules"	0.942	"Fatty Acyls"	0.951	"Fatty amides"	0.92	"N-acyl amines"	0.91	"N-acyl amines"	0.91	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	341.316	137	2.275	860777990039275136	860777658089453568	860777658089453568	573	NA	573
1	"C20H39NO2"	"[M + H3N + H]+"	"C20H43N2O2+"	"Fatty acids"	1	"Fatty amides"	0.991	"Primary amides"	0.693	"Lipids and lipid-like molecules"	0.92	"Fatty Acyls"	0.927	"Fatty amides"	0.811	"N-acyl amines"	0.58	"N-acyl amines"	0.58	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	343.332	137	2.275	860777987149399168	860777658127202304	860777658127202304	574	NA	574
1	"C37H61N5O4"	"[M + H3N + H]+"	"C37H65N6O4+"	"Amino acids and Peptides"	0.801	"Oligopeptides"	0.64	"Linear peptides"	0.122	"Organic acids and derivatives"	0.99	"Carboxylic acids and derivatives"	0.974	"Amino acids, peptides, and analogues"	0.907	"Amino acids and derivatives"	0.894	"Alpha amino acid amides"	0.571	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	657.505	137	2.275	860778003230363392	860777659049949312	860777659049949312	600	NA	600
1	"C26H34O6"	"[M + H3N + H]+"	"C26H38NO6+"	"Shikimates and Phenylpropanoids"	0.619	"Lignans"	0.426	"Dibenzylbutane lignans"	0.068	"Benzenoids"	0.873	"Benzene and substituted derivatives"	0.514	NA	NA	NA	NA	"Benzene and substituted derivatives"	0.514	"Organic compounds; Organoheterocyclic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Benzene and substituted derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	460.27	137	2.282	860778004006309760	860777658307557376	860777658307557376	579	NA	579
1	"C39H70O5"	"[M + Na]+"	"C39H70NaO5+"	"Fatty acids"	0.995	"Glycerolipids"	0.996	"Diacylglycerols"	0.969	"Lipids and lipid-like molecules"	0.996	"Glycerolipids"	0.869	"Diradylglycerols"	0.771	"Diacylglycerols"	0.858	"1,2-diacylglycerols"	0.748	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Fatty alcohols; 1,2-diacylglycerols; Secondary alcohols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	641.51	137	2.29	860777987984065920	860777659574237312	860777659574237312	614	NA	614
2	"C29H54N2O4"	"[M + H]+"	"C29H55N2O4+"	"Fatty acids"	0.818	"Fatty amides"	0.322	"Open-chain polyketides"	0.051	"Organic acids and derivatives"	0.997	"Carboxylic acids and derivatives"	0.991	"Amino acids, peptides, and analogues"	0.739	"Amino acids and derivatives"	0.729	"Alpha amino acid esters"	0.581	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	495.416	137	2.291	860778047769682432	860777658341111808	860777658341111808	580	NA	580
1	"C20H36O2"	"[M + H3N + H]+"	"C20H40NO2+"	"Fatty acids"	1	"Fatty Acids and Conjugates"	0.975	"Unsaturated fatty acids"	0.98	"Lipids and lipid-like molecules"	0.987	"Fatty Acyls"	0.982	"Fatty acids and conjugates"	0.965	"Long-chain fatty acids"	0.927	"Long-chain fatty acids"	0.927	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	326.305	138	2.292	860778048788898688	860777658378860544	860777658378860544	581	NA	581
1	"C22H43NO2"	"[M + H3N + H]+"	"C22H47N2O2+"	"Fatty acids"	1	"Fatty amides"	0.992	"N-acyl ethanolamines (endocannabinoids)"	0.831	"Lipids and lipid-like molecules"	0.885	"Fatty Acyls"	0.901	"Fatty amides"	0.837	"N-acyl amines"	0.766	"N-acyl amines"	0.766	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	371.363	138	2.298	860778003339415296	860777658450163712	860777658450163712	583	NA	583
1	"C21H41NO4"	"[M + H3N + H]+"	"C21H45N2O4+"	"Fatty acids"	1	"Spingolipids"	0.959	"Sphingoid bases"	0.903	"Lipids and lipid-like molecules"	0.811	"Fatty Acyls"	0.776	"Fatty amides"	0.511	NA	NA	"Fatty amides"	0.511	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	389.337	138	2.3	860778000382430592	860777658412414976	860777658412414976	582	NA	582
1	"C31H42O6"	"[M + H3N + H]+"	"C31H46NO6+"	"Terpenoids"	0.539	"Diterpenoids"	0.242	"Open-chain polyketides"	0.09	"Lipids and lipid-like molecules"	0.832	"Prenol lipids"	0.594	NA	NA	NA	NA	"Prenol lipids"	0.594	"Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	528.333	138	2.302	860778038139558016	860777658483718144	860777658479523840	584	NA	584
1	"C20H34O"	"[M + H3N + H]+"	"C20H38NO+"	"Fatty acids"	0.925	"Fatty acyls"	0.631	"Unsaturated fatty acids"	0.274	"Lipids and lipid-like molecules"	0.861	"Fatty Acyls"	0.652	NA	NA	NA	NA	"Fatty Acyls"	0.652	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	308.295	139	2.312	860777999270939776	860777658521466880	860777658521466880	585	NA	585
1	"C11H18O2"	"[M + H3N + H]+"	"C11H22NO2+"	"Terpenoids"	0.663	"Monoterpenoids"	0.371	"Unsaturated fatty acids"	0.224	"Lipids and lipid-like molecules"	0.673	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.673	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	200.165	139	2.314	860778016958322304	860777658550827008	860777658550827008	586	NA	586
1	"C31H58O7"	"[M + Na]+"	"C31H58NaO7+"	"Polyketides"	0.865	"Linear polyketides"	0.824	"Open-chain polyketides"	0.809	"Lipids and lipid-like molecules"	0.954	"Fatty Acyls"	0.942	"Fatty acids and conjugates"	0.361	"Branched fatty acids"	0.53	"Branched fatty acids"	0.53	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Branched fatty acids; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	565.408	139	2.322	860777996129405568	860777658588575744	860777658588575744	587	NA	587
1	"C34H61NO2"	"[M + H3N + H]+"	"C34H65N2O2+"	"Fatty acids"	0.999	"Fatty amides"	0.957	"N-acyl ethanolamines (endocannabinoids)"	0.443	"Lipids and lipid-like molecules"	0.948	"Fatty Acyls"	0.926	"Fatty amides"	0.845	"N-acyl amines"	0.627	"N-acyl amines"	0.627	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	533.505	139	2.324	860778043395022464	860777658626324480	860777658626324480	588	NA	588
1	"C13H18O2"	"[M - H2O + H]+"	"C13H17O+"	"Terpenoids"	0.953	"Sesquiterpenoids"	0.639	"Bisabolane sesquiterpenoids"	0.294	"Lipids and lipid-like molecules"	0.576	"Prenol lipids"	0.503	NA	NA	NA	NA	"Prenol lipids"	0.503	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	189.127	140	2.328	860777993327609984	860777658664073344	860777658664073344	589	NA	589
3	"C17H34N2O4"	"[M + H3N + H]+"	"C17H38N3O4+"	"Fatty acids"	0.706	"Small peptides"	0.491	"N-acyl amines"	0.148	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.998	"Amino acids, peptides, and analogues"	0.916	"Amino acids and derivatives"	0.913	"N-acyl-alpha amino acids and derivatives"	0.503	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	348.287	140	2.33	860777990639060736	860777658706016384	860777658701822080	590	NA	590
1	"C20H30O2"	"[M + H3N + H]+"	"C20H34NO2+"	"Terpenoids"	0.988	"Diterpenoids"	0.979	"Kaurane and Phyllocladane diterpenoids"	0.431	"Lipids and lipid-like molecules"	0.952	"Prenol lipids"	0.886	"Diterpenoids"	0.936	"Kaurane diterpenoids"	0.623	"Kaurane diterpenoids"	0.623	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Diterpenoids; Carbonyl compounds; Kaurane diterpenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	320.256	140	2.336	860777995709975040	860777658739570816	860777658739570816	591	NA	591
2	"C19H39NO3"	"[M + Na]+"	"C19H39NNaO3+"	"Fatty acids"	0.842	"Small peptides"	0.272	"Aminoacids"	0.164	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.994	"Amino acids, peptides, and analogues"	0.85	"Amino acids and derivatives"	0.846	"N-acyl-alpha amino acids"	0.553	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	352.282	140	2.338	860778016639555200	860777658844428416	860777658844428416	594	NA	594
4	"C25H50O2S"	"[M + H3N + H]+"	"C25H54NO2S+"	"Terpenoids"	0.726	"Steroids"	0.623	"Androstane steroids"	0.259	"Lipids and lipid-like molecules"	0.864	"Steroids and steroid derivatives"	0.646	NA	NA	NA	NA	"Steroids and steroid derivatives"	0.646	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Thioesters; Thioethers; Carbonyl compounds; Sulfenyl compounds; Carbothioic S-esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	432.387	140	2.339	860777999753284864	860777658810873984	860777658810873984	593	NA	593
1	"C18H35NO3"	"[M + Na]+"	"C18H35NNaO3+"	"Fatty acids"	1	"Fatty Acids and Conjugates"	0.923	"Nitro fatty acids"	0.843	"Lipids and lipid-like molecules"	0.98	"Fatty Acyls"	0.975	"Fatty acids and conjugates"	0.957	"Long-chain fatty acids"	0.658	"Long-chain fatty acids"	0.658	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Straight chain fatty acids; Unsaturated fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	336.251	141	2.344	860778005482705024	860777658877982848	860777658877982848	595	NA	595
1	"C18H35NO4"	"[M + Na]+"	"C18H35NNaO4+"	"Fatty acids"	0.998	"Fatty amides"	0.93	"N-acyl amines"	0.399	"Lipids and lipid-like molecules"	0.941	"Fatty Acyls"	0.946	"Fatty amides"	0.816	"N-acyl amines"	0.689	"N-acyl amines"	0.689	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	352.246	141	2.346	860778003045814016	860777658911537280	860777658911537280	596	NA	596
1	"C24H38O2"	"[M + H3N + H]+"	"C24H42NO2+"	"Terpenoids"	0.761	"Steroids"	0.426	"Unsaturated fatty acids"	0.111	"Lipids and lipid-like molecules"	0.907	"Prenol lipids"	0.546	NA	NA	NA	NA	"Prenol lipids"	0.546	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	376.319	141	2.354	860778054862251648	860777659016394880	860777659016394880	599	NA	599
2	"C24H46O3"	"[M + H3N + H]+"	"C24H50NO3+"	"Fatty acids"	0.964	"Fatty esters"	0.965	"Wax monoesters"	0.838	"Lipids and lipid-like molecules"	0.926	"Fatty Acyls"	0.943	"Fatty acid esters"	0.945	NA	NA	"Fatty acid esters"	0.945	"Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	400.379	141	2.354	860777992748795904	860777658978646144	860777658978646144	598	NA	598
1	"C27H47NO5"	"[M + H3N + H]+"	"C27H51N2O5+"	"Amino acids and Peptides"	0.702	"Macrolides"	0.374	"Open-chain polyketides"	0.344	"Phenylpropanoids and polyketides"	0.356	"Macrolides and analogues"	0.543	NA	NA	NA	NA	"Macrolides and analogues"	0.543	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Macrolides and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	483.38	142	2.364	860777994359408896	860777659477768320	860777659477768320	611	NA	611
1	"C18H33NO"	"[M + Na]+"	"C18H33NNaO+"	"Fatty acids"	1	"Fatty amides"	0.999	"Primary amides"	1	"Lipids and lipid-like molecules"	0.879	"Fatty Acyls"	0.903	"Fatty amides"	0.873	NA	NA	"Fatty amides"	0.873	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	302.246	142	2.365	860777997211536128	860777659540682880	860777659540682880	613	NA	613
1	"C36H63NO2"	"[M + H3N + H]+"	"C36H67N2O2+"	"Fatty acids"	0.999	"Fatty amides"	0.83	"Primary amides"	0.108	"Lipids and lipid-like molecules"	0.958	"Fatty Acyls"	0.935	"Fatty amides"	0.774	"N-acyl amines"	0.505	"N-acyl amines"	0.505	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	559.52	142	2.365	860777990492260096	860777659184167040	860777659184167040	603	NA	603
1	"C10H16O"	"[M + H3N + H]+"	"C10H20NO+"	"Terpenoids"	0.893	"Monoterpenoids"	0.642	"Fatty aldehydes"	0.191	"Organic oxygen compounds"	0.978	"Organooxygen compounds"	0.961	"Carbonyl compounds"	0.743	"Ketones"	0.556	"Ketones"	0.556	"Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	170.154	142	2.365	860778000281767296	860777659297413248	860777659293218944	606	NA	606
1	"C18H30O"	"[M + H3N + H]+"	"C18H34NO+"	"Fatty acids"	0.937	"Fatty acyls"	0.911	"Fatty alcohols"	0.319	"Lipids and lipid-like molecules"	0.729	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.729	"Organic compounds; Lipids and lipid-like molecules; Ketones; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	280.264	142	2.365	860777996859214464	860777659251275904	860777659251275904	605	NA	605
