formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C9H24N4O5S	[M - H2O + H]+	C9H23N4O4S+	Amino acids and Peptides	0.968	Small peptides	0.928	Aminoacids	0.810	Organic acids and derivatives	0.985	Carboxylic acids and derivatives	0.643	Amino acids, peptides, and analogues	0.621	Amino acids and derivatives	0.616	Alpha amino acids	0.710	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.143	29	0.489	860777924855588671	860777633825402644	860777633804431123	1	
1	C8H15NO4S	[M + H3N + H]+	C8H19N2O4S+	Alkaloids	0.086	Monoterpenoids	0.012	Aminoacids	0.010	Organic acids and derivatives	0.902	Organic sulfonic acids and derivatives	0.969	Organosulfonic acids and derivatives	0.969	Alkanesulfonic acids and derivatives	0.970	Alkanesulfonic acids	0.964	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	30	0.501	860777927145678969	860777634135781144	860777634127392535	2	
1	C8H20NO6P	[M + H]+	C8H21NO6P+	Fatty acids	0.932	Glycerophospholipids	0.527	Glycerophosphocholines	0.549	Organic nitrogen compounds	0.996	Organonitrogen compounds	0.994	Quaternary ammonium salts	0.946	Cholines	0.739	Phosphocholines	0.636	Organic compounds; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.110	30	0.502	860777927086958677	860777634257415964	860777634253221659	3	
1	C13H12N2O4	[M + H]+	C13H13N2O4+	Alkaloids	0.902	Nicotinic acid alkaloids	0.594	Pyridine alkaloids	0.595	Benzenoids	0.887	Benzene and substituted derivatives	0.512					Benzene and substituted derivatives	0.512	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	30	0.504	860777925992245204	860777634433576740	860777634429382435	5	
1	C8H13NO2	[M + H3N + H]+	C8H17N2O2+	Amino acids and Peptides	0.556	Lysine alkaloids	0.331	Primary amides	0.466	Organoheterocyclic compounds	0.529	Lactams	0.587					Lactams	0.587	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	173.129	30	0.508	860777923261753034	860777634362273568	860777634358079263	4	
1	C7H4O2	[M + H3N + H]+	C7H8NO2+	Shikimates and Phenylpropanoids	0.622	Phenolic acids (C6-C1)	0.644	Simple phenolic acids	0.717	Benzenoids	0.616							Benzenoids	0.616	Organic compounds; Organooxygen compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	138.055	31	0.513	860777922628413082	860777634500685608	860777634496491303	6	
1	C7H17NO4	[M - H2O + H]+	C7H16NO3+	Fatty acids	0.993	Fatty esters	0.982	Fatty acyl carnitines	0.995	Lipids and lipid-like molecules	0.863	Fatty Acyls	0.882	Fatty acid esters	0.593	Acyl carnitines	0.514	Acyl carnitines	0.514	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Quaternary ammonium salts; Carboxylic acid derivatives; Acyl carnitines; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Alkanolamines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	162.113	31	0.513	860777930928941789	860777634563600172	860777634563600171	7	
1	C9H15NO2	[M + H3N + H]+	C9H19N2O2+	Fatty acids	0.473	Fatty amides	0.525	Primary amides	0.902	Lipids and lipid-like molecules	0.711	Fatty Acyls	0.659					Fatty Acyls	0.659	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187.144	31	0.522	860777923119146690	860777634727178036	860777634722983731	9	
1	C10H17NO4	[M + Na]+	C10H17NNaO4+	Alkaloids	0.467	Ornithine alkaloids	0.402	Pyrrolidine alkaloids	0.267	Organoheterocyclic compounds	0.853	Lactams	0.567					Lactams	0.567	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	238.105	31	0.523	860777930173967010	860777634857201468	860777634853007163	11	
1	C9H14O4	[M + H3N + H]+	C9H18NO4+	Fatty acids	0.976	Fatty Acids and Conjugates	0.840	Dicarboxylic acids	0.856	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.988	Dicarboxylic acids and derivatives	0.626			Dicarboxylic acids and derivatives	0.626	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	204.123	31	0.523	860777925778335659	860777634634903344	860777634630709039	8	
