CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1422	1839	1	0.8055	-42.045
1627	1839	1	0.907	-14.016
1839	2221	1	0.8333	-26.027
1839	2227	1	0.866	-27.030
1839	2369	1	0.7713	-42.048
1839	2652	1	0.8039	-26.026
1144	1839	1	0.8067	-71.081
1145	1839	1	0.8812	-70.078
1422	2369	1	0.7355	-84.092
1627	2369	1	0.7535	-56.064
1144	2369	1	0.7255	-113.128
1145	2369	1	0.763	-112.125
2052	2227	1	0.8838	-14.016
2221	2652	1	0.9285	0.000
1422	1627	1	0.8159	-28.029
1144	1422	1	0.7663	-29.036
1145	1422	1	0.8191	-28.033
1144	1145	1	0.928	-1.003
1144	1627	1	0.7925	-57.065
1144	1628	1	0.9354	-56.062
1145	1627	1	0.8767	-56.062
1627	2052	1	0.8925	-27.029
1628	2052	1	0.9162	-28.032
1627	1628	1	0.9665	1.003
2929	2983	2	0.7678	0.001
2929	3051	2	0.7746	0.000
2929	3205	2	0.7165	0.000
1457	2929	2	0.7037	-0.000
790	2929	2	0.8045	-0.000
2982	3051	2	0.7685	-99.993
2983	3051	2	0.7583	-0.001
3051	3205	2	0.7109	-0.000
1457	3051	2	0.7357	0.000
790	3051	2	0.7621	0.000
790	1457	2	0.7024	0.000
2983	3205	2	0.7074	-0.001
2982	2983	2	0.7357	-99.992
790	2983	2	0.8042	0.001
790	2822	2	0.7153	99.992
790	2982	2	0.7213	99.993
2822	2982	2	0.8193	0.000
193	361	3	0.8869	0.027
193	482	3	0.8886	-44.026
193	564	3	0.9169	-1.003
147	523	3	0.9356	17.007
215	523	3	0.9005	-0.019
358	523	3	0.8788	-0.019
523	1648	3	0.8816	-17.007
153	357	3	0.9703	-0.001
268	357	3	0.9711	-0.000
270	357	3	0.871	1.003
357	525	3	0.952	0.000
357	690	3	0.889	-28.031
357	773	3	0.9862	-0.000
357	887	3	0.9804	0.000
357	987	3	0.904	-56.062
357	1126	3	0.9768	0.000
357	1210	3	0.9756	0.000
1246	1321	3	0.9549	-0.000
267	1246	3	0.9443	-14.016
366	1246	3	0.9321	-14.016
605	1246	3	0.9807	0.000
361	426	3	0.9047	-1.011
361	1300	3	0.9025	-0.027
426	1029	3	0.8504	-0.019
564	1029	3	0.8501	-0.000
1029	1203	3	0.9035	0.000
205	267	3	0.9502	-14.016
267	366	3	0.9812	0.000
267	461	3	0.966	14.016
267	585	3	0.9485	-42.047
267	776	3	0.9182	-42.046
267	825	3	0.935	-42.047
267	1300	3	0.9302	-14.016
284	354	3	0.8624	-14.016
354	404	3	0.8746	-14.015
354	507	3	0.9608	-0.072
354	1483	3	0.9083	0.000
354	1821	3	0.9	0.000
154	524	3	0.9245	-0.000
271	524	3	0.9517	0.000
371	524	3	0.8753	0.000
524	689	3	0.8734	-28.031
317	520	3	0.8628	2.016
372	520	3	0.9382	0.000
440	520	3	0.8251	2.016
520	552	3	0.854	24.000
520	608	3	0.8866	-2.016
520	679	3	0.8353	-87.068
293	318	3	0.9499	-28.013
315	318	3	0.9611	0.018
318	444	3	0.9893	-0.018
318	605	3	0.9429	-0.018
318	1030	3	0.9621	-0.018
318	1202	3	0.9863	-0.018
318	1321	3	0.9567	-0.018
318	1391	3	0.9841	-0.018
318	1432	3	0.9599	-0.018
318	1649	3	0.9641	-0.018
153	1126	3	0.9478	-0.001
268	1126	3	0.9494	0.000
377	1126	3	0.9175	28.031
525	1126	3	0.9284	0.000
690	1126	3	0.9419	28.031
773	1126	3	0.9739	0.001
887	1126	3	0.9662	0.000
987	1126	3	0.9051	56.062
1126	1210	3	0.9968	0.000
294	404	3	0.8519	-14.024
