row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260505_CVOL_02_29_PET.mzML Peak height,20260505_CVOL_02_29_bl.mzML Peak height,20260505_CVOL_02_29_mock.mzML Peak height,20260505_CVOL_02_29_untreated.mzML Peak height,20260505_CVOL_bk_mapp_01.mzML Peak height,
1,158.00307846406625,0.47134495,,,,,,,,,,,513237.34,523178.5,521381.56,521977.97,850157.06,
2,143.9590866548498,0.47419286,,,,,,,,,,,567257.3,481338.2,525726.4,508262.44,603642.3,
3,220.93466861695944,0.5252089,,,,,,,,,,,0,0,933071.1,0,0,
4,253.9096708589168,0.5252089,,,,,,,,,,,0,0,1057128.4,0,0,
5,158.9640324789229,0.5358671,,,,,,,,,,,0,0,5477243.0,0,0,
6,140.06828213384014,0.55450994,,,,,,,,,,,0,0,0,0,801659.1,
7,239.10598284347424,0.556443,,,,,,,,,,,7564543.5,0,0,7436003.0,0,
8,261.0879949469329,0.55650026,,,,,,,,,,,695364.8,0,0,1034574.06,0,
9,164.9300847935338,0.59353966,,,,,,,,,,,0,0,2411687.8,0,0,
10,131.92991909609336,0.6028968,,,,,,,,,,,464354.25,469064.44,515155.0,550737.75,0,
11,142.94813822791946,0.6078292,,,,,,,,,,,0,0,724346.94,0,0,
12,190.9876240518932,0.68870676,,,,,,,,,,,0,462792.44,378115.38,0,0,
13,210.06053235343745,0.6753745,,,,,,,,,,,0,448803.84,310042.47,0,0,
14,172.97708574471932,0.68525994,,,,,,,,,,,1553543.4,3174676.0,2268078.8,1703931.0,0,
15,128.95097053051984,0.70201415,,,,,,,,,,,1089033.5,1740609.2,1291496.0,1168663.8,508239.38,
16,238.0917225645618,0.6830193,,,,,,,,,,,355195.56,650671.56,422414.97,432232.53,0,
17,196.0448859817787,0.6874454,,,,,,,,,,,405823.03,559377.6,380483.72,447222.62,0,
18,161.96961341792766,0.91348267,,,,,,,,,,,384069.97,354845.66,330116.88,382797.44,401961.94,
19,143.95908503754532,0.9147514,,,,,,,,,,,482661.88,464672.22,432375.7,491231.25,498994.1,
20,252.07099935271972,0.9511204,,,,,,,,,,,375113.3,444236.38,389557.06,379510.28,527250.2,
21,224.07610358945584,0.9695918,,,,,,,,,,,1052710.6,1224777.0,1003570.94,1069088.5,1417305.6,
22,266.1230456748533,0.9806547,,,,,,,,,,,589168.3,728156.0,612340.1,591602.94,840737.0,
23,145.96611636135714,1.0437418,,,,,,,,,,,346091.38,342809.22,351354.28,362999.2,388497.0,
24,224.07610506964255,1.0465031,,,,,,,,,,,1052710.6,1249477.1,1023817.9,1085244.5,1367495.6,
25,151.09656734919852,1.3143787,,,,,,,,,,,335389.0,664455.6,359976.1,401823.66,0,
26,224.076106121775,1.275618,,,,,,,,,,,1030004.0,1103128.0,965369.3,1002566.75,1268645.9,
27,266.1230463088994,1.28441,,,,,,,,,,,727238.56,664783.25,555470.6,610976.94,767839.8,
28,252.07099883209835,1.3049704,,,,,,,,,,,377992.38,385177.25,343941.7,379922.62,442590.03,
29,156.1020779168229,1.6510158,,,,,,,,,,,0,0,702735.0,0,0,
30,266.1230370432346,1.5971537,,,,,,,,,,,345596.75,451611.03,446292.0,350370.2,543816.8,
31,142.0863055277044,1.7267233,,,,,,,,,,,0,0,890606.1,0,0,
32,166.0839352839932,1.7353379,,,,,,,,,,,0,0,777724.0,0,0,
33,146.11759766605346,1.7895083,,,,,,,,,,,0,0,597040.9,0,0,
34,168.09955825802513,1.7895083,,,,,,,,,,,0,0,556296.0,0,0,
35,256.1754919494539,1.9908447,,,,,,,,,,,816419.25,497228.3,0,0,0,
36,284.20675809691227,1.9908447,,,,,,,,,,,1164718.4,908834.25,0,0,0,
37,204.1231286729868,2.003561,,,,,,,,,,,0,0,785323.06,0,0,
38,187.144070774088,2.1452446,,,,,,,,,,,0,582655.1,3033814.8,0,0,
39,209.12616452925576,2.1452446,,,,,,,,,,,0,479675.38,3431233.5,0,0,
40,139.07545846593962,2.272155,,,,,,,,,,,0,0,2725173.8,0,0,
41,174.11259983399685,2.2720509,,,,,,,,,,,0,661600.1,4812671.0,0,0,
42,196.09454986901113,2.2720509,,,,,,,,,,,0,573889.1,6190249.0,0,0,
43,156.10207360359493,2.2743847,,,,,,,,,,,0,1124216.4,1.1021102E7,803270.5,0,
44,160.13322673762036,2.3387234,,,,,,,,,,,0,976374.4,2982807.8,0,0,
45,182.1152207160429,2.3387234,,,,,,,,,,,0,758096.06,2229258.5,0,0,
46,158.1177261826854,2.3500543,,,,,,,,,,,0,390284.22,1290466.2,0,0,
47,180.09951939440288,2.3500543,,,,,,,,,,,0,502141.7,1779023.0,0,0,
48,203.17546256415645,2.353844,,,,,,,,,,,0,0,387329.03,0,0,
49,218.13879009049202,2.5226283,,,,,,,,,,,0,515765.75,2379273.5,0,0,
50,202.1437618558379,2.5830028,,,,,,,,,,,0,451180.53,1111282.4,0,0,
51,176.12821464724448,2.6942291,,,,,,,,,,,0,461380.38,889219.56,0,0,
52,188.1281833371238,2.8144462,,,,,,,,,,,0,2937123.2,1.8714456E7,1609175.4,0,
53,210.11019965039932,2.8144462,,,,,,,,,,,0,3306961.8,2.7927962E7,1809421.0,0,
54,170.11758653722435,2.8144462,,,,,,,,,,,0,6372065.0,5.178964E7,4429106.0,0,
55,124.11229654906383,2.8144462,,,,,,,,,,,0,744033.8,4795662.5,417164.4,0,
56,142.1227053725606,2.8144462,,,,,,,,,,,0,832963.4,5716948.5,498050.38,0,
57,233.18598897926412,2.8144462,,,,,,,,,,,0,1103983.1,5597106.5,578640.2,0,
58,244.15435603196897,2.9503887,,,,,,,,,,,0,336731.7,1306634.4,0,0,
59,217.19118373469152,2.9966414,,,,,,,,,,,0,0,519042.06,0,0,
60,172.1332150463502,3.0043938,,,,,,,,,,,0,705133.7,1721662.5,397713.03,0,
61,230.1387261738499,3.1216033,,,,,,,,,,,0,0,1331410.0,0,0,
